country,year,pop,continent,lifeExp,gdpPercap
chavez,10/1/17,164,Politician,0.0423,0.0010116
chavez,1/1/18,253,Politician,0.065256,0.002065
chavez,4/1/18,250,Politician,0.064482,0.001445
chavez,7/1/18,313,Politician,0.080732,0.0010148
chavez,10/1/18,168,Politician,0.043332,0.0022928
chavez,11/1/18,114,Politician,0.029404,0.0004272
chavez,12/1/18,195,Politician,0.050296,0.0016679
chavez,1/1/19,307,Politician,0.079184,0.0008819
chavez,2/1/19,479,Politician,0.123549,0.0017268
chavez,3/1/19,542,Politician,0.139798,0.0031069
chavista,1/1/16,178,Political,0.042747,0.005532
chavista,4/1/16,195,Political,0.046829,0.0056772
chavista,7/1/16,139,Political,0.033381,0.0032093
chavista,10/1/16,651,Political,0.15634,0.0042683
chavista,10/1/17,169,Political,0.040585,0.003103
chavista,1/1/18,222,Political,0.053314,0.0034101
chavista,4/1/18,283,Political,0.067963,0.0040029
chavista,7/1/18,307,Political,0.073727,0.0029058
chavista,10/1/18,106,Political,0.025456,0.0022999
chavista,11/1/18,110,Political,0.026416,0.0022745
chavista,12/1/18,110,Political,0.026416,0.0015921
chavista,1/1/19,392,Political,0.09414,0.0039311
chavista,2/1/19,731,Political,0.175552,0.0061933
chavista,3/1/19,571,Political,0.137127,0.0054033
cono,1/1/16,677,Slang,0.036753,0.0220936
cono,4/1/16,590,Slang,0.03203,0.0174112
cono,7/1/16,613,Slang,0.033279,0.0158453
cono,10/1/16,2327,Slang,0.12633,0.0160691
cono,10/1/17,902,Slang,0.048968,0.0192303
cono,1/1/18,1003,Slang,0.054451,0.0172131
cono,4/1/18,1179,Slang,0.064006,0.0181119
cono,7/1/18,1973,Slang,0.107111,0.022491
cono,10/1/18,760,Slang,0.041259,0.0210889
cono,11/1/18,835,Slang,0.045331,0.0223083
cono,12/1/18,928,Slang,0.05038,0.0193648
cono,1/1/19,2093,Slang,0.113626,0.0236603
cono,2/1/19,2511,Slang,0.136319,0.0219393
cono,3/1/19,2029,Slang,0.110152,0.01999
cucuta,1/1/16,1,Regional,0.001736,-0.0024754
cucuta,4/1/16,1,Regional,0.001736,-0.0024779
cucuta,7/1/16,20,Regional,0.034722,-0.0018991
cucuta,10/1/16,12,Regional,0.020833,-0.0024143
cucuta,10/1/17,5,Regional,0.00868,-0.0023895
cucuta,1/1/18,15,Regional,0.026041,-0.0022109
cucuta,4/1/18,9,Regional,0.015625,-0.0023516
cucuta,7/1/18,10,Regional,0.017361,-0.0023835
cucuta,10/1/18,2,Regional,0.003472,-0.0024492
cucuta,11/1/18,1,Regional,0.001736,-0.0024822
cucuta,12/1/18,1,Regional,0.001736,-0.0024884
cucuta,1/1/19,9,Regional,0.015625,-0.002398
cucuta,2/1/19,396,Regional,0.6875,0.0014132
cucuta,3/1/19,94,Regional,0.163194,-0.0014496
dictadura,1/1/16,19,Political,0.006484,-0.0033338
dictadura,4/1/16,31,Political,0.01058,-0.0029668
dictadura,7/1/16,56,Political,0.019112,-0.0023195
dictadura,10/1/16,1031,Political,0.351877,0.004391
dictadura,10/1/17,205,Political,0.069965,0.0010048
dictadura,1/1/18,186,Political,0.063481,-0.0002971
dictadura,4/1/18,172,Political,0.058703,-0.0009637
dictadura,7/1/18,266,Political,0.090784,-0.0006064
dictadura,10/1/18,76,Political,0.025938,-0.0016326
dictadura,11/1/18,52,Political,0.017747,-0.0024636
dictadura,12/1/18,60,Political,0.020477,-0.0025938
dictadura,1/1/19,251,Political,0.085665,-0.0008452
dictadura,2/1/19,348,Political,0.118771,-0.0005869
dictadura,3/1/19,177,Political,0.060409,-0.0020353
electrico,1/1/16,11,Event,0.010721,-0.0013024
electrico,4/1/16,33,Event,0.032163,-0.0005703
electrico,7/1/16,2,Event,0.001949,-0.001648
electrico,10/1/16,29,Event,0.028265,-0.0014723
electrico,10/1/17,21,Event,0.020467,-0.0011929
electrico,1/1/18,33,Event,0.032163,-0.0010458
electrico,4/1/18,17,Event,0.016569,-0.0014056
electrico,7/1/18,44,Event,0.042884,-0.0011419
electrico,10/1/18,32,Event,0.031189,-0.000697
electrico,11/1/18,10,Event,0.009746,-0.0014068
electrico,12/1/18,8,Event,0.007797,-0.0015169
electrico,1/1/19,16,Event,0.015594,-0.0015059
electrico,2/1/19,35,Event,0.034113,-0.0013624
electrico,3/1/19,735,Event,0.716374,0.0066016
emergencia,1/1/16,76,Event,0.09257,-0.0002959
emergencia,4/1/16,22,Event,0.026796,-0.0023482
emergencia,7/1/16,29,Event,0.035322,-0.0022182
emergencia,10/1/16,86,Event,0.10475,-0.0024046
emergencia,10/1/17,29,Event,0.035322,-0.0023943
emergencia,1/1/18,78,Event,0.095006,-0.0015393
emergencia,4/1/18,51,Event,0.062119,-0.0021964
emergencia,7/1/18,76,Event,0.09257,-0.0021275
emergencia,10/1/18,31,Event,0.037758,-0.0021269
emergencia,11/1/18,27,Event,0.032886,-0.0022907
emergencia,12/1/18,25,Event,0.03045,-0.0025063
emergencia,1/1/19,41,Event,0.049939,-0.0025862
emergencia,2/1/19,90,Event,0.109622,-0.0022154
emergencia,3/1/19,160,Event,0.194884,-0.0012984
envia,1/1/16,91,Event,0.040862,0.0015154
envia,4/1/16,80,Event,0.035922,0.00091
envia,7/1/16,94,Event,0.042209,0.0010313
envia,10/1/16,365,Event,0.163897,0.0011324
envia,10/1/17,132,Event,0.059272,0.001395
envia,1/1/18,156,Event,0.070049,0.0012852
envia,4/1/18,164,Event,0.073641,0.0010789
envia,7/1/18,206,Event,0.092501,0.0008053
envia,10/1/18,84,Event,0.037718,0.000806
envia,11/1/18,63,Event,0.028289,5.47E-05
envia,12/1/18,71,Event,0.031881,-0.0001438
envia,1/1/19,183,Event,0.082173,0.0004756
envia,2/1/19,294,Event,0.132016,0.0010632
envia,3/1/19,244,Event,0.109564,0.0009078
frontera,1/1/16,10,Regional,0.009174,-0.0015555
frontera,4/1/16,19,Regional,0.017431,-0.0012697
frontera,7/1/16,42,Regional,0.038532,-0.0006375
frontera,10/1/16,88,Regional,0.080733,-0.0012061
frontera,10/1/17,21,Regional,0.019266,-0.001409
frontera,1/1/18,61,Regional,0.055963,-0.000699
frontera,4/1/18,35,Regional,0.03211,-0.0013001
frontera,7/1/18,71,Regional,0.065137,-0.0010098
frontera,10/1/18,22,Regional,0.020183,-0.0012295
frontera,11/1/18,13,Regional,0.011926,-0.0015321
frontera,12/1/18,7,Regional,0.006422,-0.0017571
frontera,1/1/19,34,Regional,0.031192,-0.0014931
frontera,2/1/19,504,Regional,0.462385,0.0030708
frontera,3/1/19,163,Regional,0.149541,-8.23E-05
guaido,10/1/16,4,Politician,0.000818,-0.003077
guaido,1/1/18,1,Politician,0.000204,-0.0030896
guaido,4/1/18,1,Politician,0.000204,-0.0030918
guaido,10/1/18,1,Politician,0.000204,-0.003078
guaido,12/1/18,1,Politician,0.000204,-0.0030856
guaido,1/1/19,1589,Politician,0.325081,0.0170948
guaido,2/1/19,1725,Politician,0.352905,0.0139905
guaido,3/1/19,1566,Politician,0.320376,0.0145977
hospitales,1/1/16,11,Event,0.022,-0.0007306
hospitales,4/1/16,7,Event,0.014,-0.0008959
hospitales,7/1/16,7,Event,0.014,-0.0009229
hospitales,10/1/16,38,Event,0.076,-0.0008269
hospitales,10/1/17,12,Event,0.024,-0.0008424
hospitales,1/1/18,34,Event,0.068,-0.0004539
hospitales,4/1/18,41,Event,0.082,-0.000405
hospitales,7/1/18,62,Event,0.124,-0.000338
hospitales,10/1/18,12,Event,0.024,-0.0007579
hospitales,11/1/18,15,Event,0.03,-0.0006837
hospitales,12/1/18,9,Event,0.018,-0.0009211
hospitales,1/1/19,29,Event,0.058,-0.0007688
hospitales,2/1/19,68,Event,0.136,-0.0004634
hospitales,3/1/19,155,Event,0.31,0.0006151
humanitaria,1/1/16,27,Event,0.01071,-0.0009894
humanitaria,4/1/16,16,Event,0.006346,-0.0014361
humanitaria,7/1/16,17,Event,0.006743,-0.001467
humanitaria,10/1/16,33,Event,0.01309,-0.0017186
humanitaria,10/1/17,43,Event,0.017056,-0.0009308
humanitaria,1/1/18,108,Event,0.04284,0.0001831
humanitaria,4/1/18,57,Event,0.02261,-0.0009699
humanitaria,7/1/18,58,Event,0.023006,-0.0012403
humanitaria,10/1/18,31,Event,0.012296,-0.0010077
humanitaria,11/1/18,16,Event,0.006346,-0.0015043
humanitaria,12/1/18,19,Event,0.007536,-0.0015314
humanitaria,1/1/19,101,Event,0.040063,-0.0007041
humanitaria,2/1/19,1743,Event,0.691392,0.0152903
humanitaria,3/1/19,252,Event,0.09996,0.0008611
ladilla,1/1/16,28,Slang,0.019914,0.0004291
ladilla,4/1/16,17,Slang,0.012091,-2.01E-05
ladilla,7/1/16,28,Slang,0.019914,0.0002518
ladilla,10/1/16,135,Slang,0.096017,0.0004967
ladilla,10/1/17,47,Slang,0.033428,0.000549
ladilla,1/1/18,66,Slang,0.046941,0.0007201
ladilla,4/1/18,105,Slang,0.074679,0.0012691
ladilla,7/1/18,138,Slang,0.09815,0.0011728
ladilla,10/1/18,80,Slang,0.056899,0.0019239
ladilla,11/1/18,80,Slang,0.056899,0.0018134
ladilla,12/1/18,119,Slang,0.084637,0.002255
ladilla,1/1/19,173,Slang,0.123044,0.0015929
ladilla,2/1/19,182,Slang,0.129445,0.0011974
ladilla,3/1/19,208,Slang,0.147937,0.0017451
maduro,1/1/16,384,Politician,0.026964,0.0006834
maduro,4/1/16,456,Politician,0.03202,0.0022157
maduro,7/1/16,390,Politician,0.027385,-0.0015635
maduro,10/1/16,2148,Politician,0.150832,0.0040354
maduro,10/1/17,486,Politician,0.034126,-0.0015709
maduro,1/1/18,654,Politician,0.045923,-0.0003742
maduro,4/1/18,907,Politician,0.063689,0.0026818
maduro,7/1/18,1012,Politician,0.071062,-0.0004724
maduro,10/1/18,229,Politician,0.01608,-0.006279
maduro,11/1/18,270,Politician,0.018959,-0.0053549
maduro,12/1/18,297,Politician,0.020855,-0.0063806
maduro,1/1/19,2249,Politician,0.157924,0.0150734
maduro,2/1/19,2823,Politician,0.19823,0.0144618
maduro,3/1/19,1936,Politician,0.135945,0.008368
maracaibo,1/1/16,41,Regional,0.04371,0.0003806
maracaibo,4/1/16,36,Regional,0.038379,0.0001063
maracaibo,7/1/16,49,Regional,0.052238,0.0003664
maracaibo,10/1/16,171,Regional,0.182302,0.0002616
maracaibo,10/1/17,49,Regional,0.052238,6.89E-05
maracaibo,1/1/18,35,Regional,0.037313,-0.0004325
maracaibo,4/1/18,54,Regional,0.057569,-0.0001714
maracaibo,7/1/18,95,Regional,0.101279,8.89E-05
maracaibo,10/1/18,12,Regional,0.012793,-0.0007566
maracaibo,11/1/18,21,Regional,0.022388,-0.0005009
maracaibo,12/1/18,23,Regional,0.02452,-0.0005831
maracaibo,1/1/19,33,Regional,0.035181,-0.0007166
maracaibo,2/1/19,89,Regional,0.094882,-0.0002539
maracaibo,3/1/19,230,Regional,0.245202,0.0014645
medicamentos,1/1/16,35,Event,0.046604,0.0001931
medicamentos,4/1/16,31,Event,0.041278,-3.18E-05
medicamentos,7/1/16,23,Event,0.030625,-0.0003964
medicamentos,10/1/16,114,Event,0.151797,-0.0001699
medicamentos,10/1/17,70,Event,0.093209,0.0006198
medicamentos,1/1/18,66,Event,0.087882,0.0002252
medicamentos,4/1/18,76,Event,0.101198,0.0002561
medicamentos,7/1/18,61,Event,0.081225,-0.0003151
medicamentos,10/1/18,26,Event,0.03462,-0.0002793
medicamentos,11/1/18,14,Event,0.018641,-0.0006782
medicamentos,12/1/18,15,Event,0.019973,-0.000741
medicamentos,1/1/19,28,Event,0.037283,-0.0007457
medicamentos,2/1/19,139,Event,0.185086,0.0002762
medicamentos,3/1/19,53,Event,0.070572,-0.0005025
militar,1/1/16,80,Political,0.016967,-0.000817
militar,4/1/16,160,Political,0.033934,0.0017457
militar,7/1/16,112,Political,0.023753,-0.0003421
militar,10/1/16,726,Political,0.153976,0.0021579
militar,10/1/17,131,Political,0.027783,-0.000555
militar,1/1/18,264,Political,0.055991,0.0015312
militar,4/1/18,168,Political,0.03563,-0.0007751
militar,7/1/18,273,Political,0.0579,-0.0002561
militar,10/1/18,68,Political,0.014422,-0.0016256
militar,11/1/18,62,Political,0.013149,-0.001901
militar,12/1/18,118,Political,0.025026,-0.0009389
militar,1/1/19,553,Political,0.117285,0.0032549
militar,2/1/19,1320,Political,0.279957,0.0093087
militar,3/1/19,680,Political,0.14422,0.0039124
militares,1/1/16,28,Political,0.013772,-0.0014917
militares,4/1/16,78,Political,0.038366,0.0001646
militares,7/1/16,61,Political,0.030004,-0.000657
militares,10/1/16,349,Political,0.171667,0.0003253
militares,10/1/17,51,Political,0.025086,-0.0012733
militares,1/1/18,129,Political,0.063453,6.60E-05
militares,4/1/18,76,Political,0.037383,-0.0011697
militares,7/1/18,114,Political,0.056074,-0.0010574
militares,10/1/18,27,Political,0.01328,-0.0016735
militares,11/1/18,28,Political,0.013772,-0.0016805
militares,12/1/18,32,Political,0.01574,-0.001758
militares,1/1/19,273,Political,0.134284,0.0009437
militares,2/1/19,516,Political,0.253812,0.0025876
militares,3/1/19,271,Political,0.1333,0.0005367
miseria,1/1/16,24,Event,0.029339,-0.0005097
miseria,4/1/16,27,Event,0.033007,-0.0004657
miseria,7/1/16,27,Event,0.033007,-0.0005696
miseria,10/1/16,143,Event,0.174816,-0.0002286
miseria,10/1/17,48,Event,0.058679,-0.0002171
miseria,1/1/18,86,Event,0.105134,0.0003315
miseria,4/1/18,97,Event,0.118581,0.0003355
miseria,7/1/18,76,Event,0.092909,-0.0004175
miseria,10/1/18,20,Event,0.024449,-0.0007649
miseria,11/1/18,28,Event,0.034229,-0.0005505
miseria,12/1/18,30,Event,0.036674,-0.0006761
miseria,1/1/19,55,Event,0.067237,-0.0006982
miseria,2/1/19,85,Event,0.103911,-0.0005549
miseria,3/1/19,72,Event,0.088019,-0.0005834
onu,1/1/16,78,Political,0.028363,0.0012029
onu,4/1/16,57,Political,0.020727,0.0002845
onu,7/1/16,68,Political,0.024727,0.0004024
onu,10/1/16,356,Political,0.129454,0.0012272
onu,10/1/17,90,Political,0.032727,0.0005305
onu,1/1/18,193,Political,0.070181,0.0021975
onu,4/1/18,90,Political,0.032727,-7.48E-05
onu,7/1/18,272,Political,0.098909,0.0018249
onu,10/1/18,97,Political,0.035272,0.0013856
onu,11/1/18,42,Political,0.015272,-0.0004122
onu,12/1/18,112,Political,0.040727,0.0010107
onu,1/1/19,404,Political,0.146909,0.0034541
onu,2/1/19,511,Political,0.185818,0.0033828
onu,3/1/19,380,Political,0.138181,0.002614
oposicion,1/1/16,57,Political,0.02057,-0.0007912
oposicion,4/1/16,79,Political,0.028509,-0.0001733
oposicion,7/1/16,101,Political,0.036448,0.0001972
oposicion,10/1/16,596,Political,0.215084,0.0019719
oposicion,10/1/17,249,Political,0.089859,0.0032237
oposicion,1/1/18,206,Political,0.074341,0.0012417
oposicion,4/1/18,187,Political,0.067484,0.000441
oposicion,7/1/18,183,Political,0.066041,-0.00054
oposicion,10/1/18,82,Political,0.029592,-0.000306
oposicion,11/1/18,102,Political,0.036809,0.0001858
oposicion,12/1/18,94,Political,0.033922,-0.0006394
oposicion,1/1/19,300,Political,0.108264,0.0009146
oposicion,2/1/19,289,Political,0.104294,-3.51E-05
oposicion,3/1/19,246,Political,0.088776,-0.0001184
pana,1/1/16,372,Slang,0.031673,0.008189
pana,4/1/16,470,Slang,0.040017,0.0106485
pana,7/1/16,496,Slang,0.04223,0.0096366
pana,10/1/16,1788,Slang,0.152234,0.0090422
pana,10/1/17,574,Slang,0.048871,0.0085429
pana,1/1/18,677,Slang,0.057641,0.0080378
pana,4/1/18,957,Slang,0.081481,0.0115246
pana,7/1/18,1220,Slang,0.103873,0.0101595
pana,10/1/18,536,Slang,0.045636,0.0113821
pana,11/1/18,527,Slang,0.04487,0.0103696
pana,12/1/18,610,Slang,0.051936,0.0090963
pana,1/1/19,1135,Slang,0.096636,0.0088583
pana,2/1/19,1368,Slang,0.116475,0.0079877
pana,3/1/19,1015,Slang,0.086419,0.0059035
petroleo,1/1/16,35,Event,0.048209,-0.0003017
petroleo,4/1/16,15,Event,0.020661,-0.0010789
petroleo,7/1/16,24,Event,0.033057,-0.0008606
petroleo,10/1/16,65,Event,0.089531,-0.0010653
petroleo,10/1/17,26,Event,0.035812,-0.0009572
petroleo,1/1/18,28,Event,0.038567,-0.0010336
petroleo,4/1/18,47,Event,0.064738,-0.0007569
petroleo,7/1/18,81,Event,0.11157,-0.000552
petroleo,10/1/18,28,Event,0.038567,-0.0007109
petroleo,11/1/18,25,Event,0.034435,-0.0008403
petroleo,12/1/18,32,Event,0.044077,-0.000827
petroleo,1/1/19,96,Event,0.132231,-0.0003759
petroleo,2/1/19,111,Event,0.152892,-0.0004962
petroleo,3/1/19,113,Event,0.155647,-0.0003189
protesta,1/1/16,34,Event,0.012696,-0.0004775
protesta,4/1/16,104,Event,0.038834,0.0018542
protesta,7/1/16,57,Event,0.021284,1.26E-05
protesta,10/1/16,943,Event,0.352128,0.005973
protesta,10/1/17,135,Event,0.05041,0.0015847
protesta,1/1/18,122,Event,0.045556,0.0007175
protesta,4/1/18,151,Event,0.056385,0.0009625
protesta,7/1/18,219,Event,0.081777,0.0010888
protesta,10/1/18,74,Event,0.027632,0.0006055
protesta,11/1/18,46,Event,0.017176,-0.0003437
protesta,12/1/18,86,Event,0.032113,0.0003328
protesta,1/1/19,288,Event,0.107542,0.0019266
protesta,2/1/19,145,Event,0.054144,-0.000298
protesta,3/1/19,274,Event,0.102315,0.0013629
regimen,1/1/16,167,Political,0.036209,0.0034528
regimen,4/1/16,185,Political,0.040112,0.0036597
regimen,7/1/16,151,Political,0.03274,0.0019049
regimen,10/1/16,912,Political,0.197745,0.0047294
regimen,10/1/17,246,Political,0.053339,0.0033243
regimen,1/1/18,294,Political,0.063746,0.0031854
regimen,4/1/18,251,Political,0.054423,0.0017589
regimen,7/1/18,376,Political,0.081526,0.0021233
regimen,10/1/18,120,Political,0.026019,0.0010705
regimen,11/1/18,124,Political,0.026886,0.0010258
regimen,12/1/18,119,Political,0.025802,0.0001363
regimen,1/1/19,403,Political,0.08738,0.0023987
regimen,2/1/19,697,Political,0.151127,0.0041839
regimen,3/1/19,567,Political,0.12294,0.0036857
sinluz,1/1/16,8,Event,0.012121,-0.0003292
sinluz,4/1/16,6,Event,0.00909,-0.0004181
sinluz,10/1/16,27,Event,0.040909,-0.0004045
sinluz,10/1/17,13,Event,0.019696,-0.0003055
sinluz,1/1/18,34,Event,0.051515,5.84E-05
sinluz,4/1/18,23,Event,0.034848,-0.0002142
sinluz,7/1/18,64,Event,0.096969,0.0002002
sinluz,10/1/18,35,Event,0.05303,0.000482
sinluz,11/1/18,12,Event,0.018181,-0.0002621
sinluz,12/1/18,10,Event,0.015151,-0.0003847
sinluz,1/1/19,9,Event,0.013636,-0.0005107
sinluz,2/1/19,14,Event,0.021212,-0.0004864
sinluz,3/1/19,405,Event,0.613636,0.0039543
socialismo,1/1/16,35,Political,0.031876,-0.0005265
socialismo,4/1/16,35,Political,0.031876,-0.0006133
socialismo,7/1/16,40,Political,0.036429,-0.0005947
socialismo,10/1/16,113,Political,0.102914,-0.0008976
socialismo,10/1/17,45,Political,0.040983,-0.0007147
socialismo,1/1/18,45,Political,0.040983,-0.0009166
socialismo,4/1/18,81,Political,0.07377,-0.0003742
socialismo,7/1/18,126,Political,0.114754,-0.0001965
socialismo,10/1/18,29,Political,0.026411,-0.000904
socialismo,11/1/18,45,Political,0.040983,-0.00046
socialismo,12/1/18,30,Political,0.027322,-0.0010999
socialismo,1/1/19,86,Political,0.078324,-0.0007278
socialismo,2/1/19,192,Political,0.174863,8.20E-05
socialismo,3/1/19,196,Political,0.178506,0.0003949
transicion,1/1/16,6,Political,0.009331,-0.0006165
transicion,4/1/16,7,Political,0.010886,-0.0005968
transicion,7/1/16,12,Political,0.018662,-0.0004705
transicion,10/1/16,42,Political,0.065318,-0.0004951
transicion,10/1/17,18,Political,0.027993,-0.0003958
transicion,1/1/18,12,Political,0.018662,-0.0005972
transicion,4/1/18,24,Political,0.037325,-0.0004097
transicion,7/1/18,52,Political,0.08087,-0.0001679
transicion,10/1/18,23,Political,0.035769,-0.0001109
transicion,11/1/18,9,Political,0.013996,-0.0005662
transicion,12/1/18,16,Political,0.024883,-0.0004537
transicion,1/1/19,165,Political,0.256609,0.0012596
transicion,2/1/19,185,Political,0.287713,0.0009955
transicion,3/1/19,72,Political,0.111975,-2.43E-05
vaina,1/1/16,84,Slang,0.023115,-0.0078896
vaina,4/1/16,61,Slang,0.016785,-0.0088918
vaina,7/1/16,104,Slang,0.028618,-0.007808
vaina,10/1/16,323,Slang,0.088882,-0.0083569
vaina,10/1/17,161,Slang,0.044303,-0.0070377
vaina,1/1/18,170,Slang,0.04678,-0.0075793
vaina,4/1/18,202,Slang,0.055586,-0.0073882
vaina,7/1/18,376,Slang,0.103467,-0.0061484
vaina,10/1/18,231,Slang,0.063566,-0.0036899
vaina,11/1/18,168,Slang,0.04623,-0.0059148
vaina,12/1/18,208,Slang,0.057237,-0.0059951
vaina,1/1/19,393,Slang,0.108145,-0.0060001
vaina,2/1/19,589,Slang,0.16208,-0.0051584
vaina,3/1/19,564,Slang,0.1552,-0.0046199
